freq_core (GHz),freq_noc (GHz),Xbar_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,1024,100,9,100,2,2,32,242,12148852.46873797,35247425383.76255,4840636943.112063,2581.451046109715,M3_5D,6002110.1875,162339.01652892563,24107.314380950003,6188556.518409876,418518228.17148066,4351467.511323968,662466.7815147071,423532162.46431935,1.9631157011489275,2.1144182973273287,0.09653333092409554,0.027479908008259904,4.280470732800001,5,1,NaN,5.221366882324219e-05,4.392421007156372,0.011397361755371094,4.403870582580566
1,1,1024,64,36,64,2,2,32,242,20667308.01273829,39145755609.2092,12392030574.366882,6404.492212413364,M3_5D,8479018.625,39034.42148760331,2737.7391726000005,8520790.785660204,394006999.3308626,837618.5383720496,75232.82061365759,394919850.6898483,2.42551525235424,0.37225284109961165,0.067926926390623,0.0274799080082599,2.84132384768,5,1,NaN,6.031990051269531e-05,2.571937084197998,0.009032726287841797,2.5810301303863525
1,1,1024,81,36,81,2,1,32,1458,20667308.01273829,39145755609.2092,7841831847.841543,4310.470370002385,M3D,8562468.9375,36023.41700960219,0,8598492.354509601,253753808.11829033,8154820.857044501,0,261908628.97533482,2.403596719127049,0.371264498754652,0.2560111392670083,0,18.734191994880007,5,1,NaN,4.124641418457031e-05,1.6787075996398926,0.008566617965698242,1.6873154640197754
1,1,1024,81,36,81,2,1,32,648,20667308.01273829,39145755609.2092,7841831847.841543,4126.87236207364,M3D,8562468.9375,38021.43827160494,0,8600490.375771604,253753808.11829033,2031150.1957085333,0,255784958.31399888,2.4030383280190692,0.3712391536859013,0.08305677132619485,0,5.559634944000003,5,1,NaN,5.340576171875e-05,1.6848313808441162,0.00813603401184082,1.6930208206176758
1,1,1024,81,36,81,2,1,32,338,20667308.01273829,39145755609.2092,7841831847.841543,4056.4535894636565,M3D,8562468.9375,41319.94674556213,0,8603788.884245561,253753808.11829033,823891.483723599,0,254577699.60201395,2.402117054566773,0.3711973193980163,0.04957490495498064,0,2.5909878067200003,5,1,NaN,4.506111145019531e-05,1.6023197174072266,0.00983285903930664,1.6121976375579834
1,1,1024,81,36,81,2,1,32,242,20667308.01273829,39145755609.2092,7841831847.841543,4034.310809135452,M3D,8562468.9375,44055.13223140496,0,8606524.069731405,253753808.11829033,574946.9387688128,0,254328755.05705914,2.4013536527974044,0.37116263676686845,0.04268621213159746,0,1.9044282470400002,5,1,NaN,4.3392181396484375e-05,1.569596767425537,0.00783538818359375,1.5774755477905273
1,1,1024,81,36,81,2,1,32,50,20667308.01273829,39145755609.2092,7841831847.841543,3988.2665832264192,M3D,8562468.9375,81034.84,0,8643503.7775,253753808.11829033,236453.3021998725,0,253990261.4204902,2.3910798843563406,0.3706943629455739,0.03255351025410574,0,0.861535070208,5,1,NaN,5.626678466796875e-05,1.6522326469421387,0.007710456848144531,1.6599993705749512
1,1,1024,81,36,81,2,1,32,8,20667308.01273829,39145755609.2092,7841831847.841543,3977.4104450424593,M3D,8562468.9375,325736.5,0,8888205.4375,253753808.11829033,179738.941717407,0,253933547.06000775,2.3252509359810003,0.3676252392736692,0.03018738120122773,0,0.6920946892800002,5,1,NaN,4.38690185546875e-05,1.6774516105651855,0.007795572280883789,1.685291051864624
1,1,1024,81,36,81,2,1,6,50,20667308.01273829,39145755609.2092,7841831847.841543,3959.8626672678383,M3D,43732989.333333336,81034.84,0,43814024.17333334,244967288.09624434,236453.3021998725,0,245203741.3984442,0.47170531359950035,0.16850384965134116,0.008519351724652593,0,0.24647566233600005,5,1,NaN,4.00543212890625e-05,1.6444318294525146,0.00943899154663086,1.6539108753204346
1,1,1024,81,36,81,2,1,11,98,20667308.01273829,39145755609.2092,7841831847.841543,3978.9960399246197,M3D,24057173.727272727,58205.5306122449,0,24115379.25788497,246600411.11174038,304378.0001250667,0,246904789.11186546,0.857017747543022,0.24262395506415935,0.01547996337013543,0,0.5260105128960001,5,1,NaN,5.626678466796875e-05,1.598480224609375,0.007976293563842773,1.6065127849578857
1,1,1024,81,36,81,2,1,16,128,20667308.01273829,39145755609.2092,7841831847.841543,3991.7824672412157,M3D,16678742.875,52631.96875,0,16731374.84375,248260263.30772024,351513.353844401,0,248611776.66156465,1.2352426627067385,0.29052768370731463,0.021563534918390383,0,0.7786972200960002,5,1,NaN,4.506111145019531e-05,1.5923051834106445,0.008070230484008789,1.6004204750061035
1,1,1024,81,36,81,2,1,21,162,20667308.01273829,39145755609.2092,7841831847.841543,4005.0229868752826,M3D,12813850.523809524,48810.753086419754,0,12862661.276895944,249947053.37390527,410432.6354367556,0,250357486.009342,1.60676764845399,0.32404899062520215,0.027914658614808987,0,1.0815374361600003,5,1,NaN,4.2438507080078125e-05,1.6310899257659912,0.007859945297241211,1.6389923095703125
1,1,1024,81,36,81,2,1,26,162,20667308.01273829,39145755609.2092,7841831847.841543,4009.8298855715516,M3D,10435455.23076923,48810.753086419754,0,10484265.98385565,251660984.79032293,410432.6354367556,0,252071417.42575967,1.9712689514519326,0.3487898462269675,0.03252460851407731,0,1.2308723251200004,5,1,NaN,4.291534423828125e-05,1.7500815391540527,0.008723974227905273,1.7588484287261963
1,1,1024,81,36,81,2,1,31,200,20667308.01273829,39145755609.2092,7841831847.841543,4023.5687696912933,M3D,8824284.225806452,46077.46,0,8870361.685806453,253402255.98886365,483880.73947995616,0,253886136.7283436,2.329928445399046,0.36784732224611855,0.0392179287383366,0,1.605460686336,5,1,NaN,4.315376281738281e-05,1.526705026626587,0.008021831512451172,1.5347700119018555
1,1,1024,169,36,169,1,1,32,338,20667308.01273829,39145755609.2092,8180676433.859387,8334.40621296857,M2D,13938191.9375,0,0,13938191.9375,434461206.7285427,0,0,434461206.7285427,1.482782566448518,0.31397762551109115,0.0311705570332725,0,1.0035082854400001,5,1,377.71,4.750690698623657,1.9183359146118164,0.009655237197875977,6.67868185043335
1,1,1024,169,36,81,2,1,32,242,20667308.01273829,39145755609.2092,16361352867.718775,8417.384204437547,M3D,9409431.5625,76440.47933884297,0,9485872.041838843,575418895.6483585,1801532.6986427878,0,577220428.3470012,2.1787462366751384,0.36033853425521806,0.08472120128468742,0,3.6639015014400003,5,1,382.95,6.08519172668457,2.995940923690796,0.013965129852294922,9.095097780227661
1,1,1024,169,36,49,3,1,32,242,20667308.01273829,39145755609.2092,24542029301.578163,8417.672664472526,M3D,6167973.3125,101202.09090909091,0,6269175.403409091,542775717.4777564,3844962.6860264554,0,546620680.1637828,3.296654931922896,0.4033693833058639,0.12599195538343236,0,5.364114135040001,5,1,400.06,7.005655288696289,4.311432838439941,0.008115053176879883,11.32520318031311
1,1,1024,81,36,81,2,1,32,242,20667308.01273829,39145755609.2092,7841831847.841543,4034.310809135452,M3D,8562468.9375,44055.13223140496,0,8606524.069731405,253753808.11829033,574946.9387688128,0,254328755.05705914,2.4013536527974044,0.37116263676686845,0.04268621213159746,0,1.9044282470400002,5,1,361.37,2.6843318939208984,1.5854299068450928,0.00817561149597168,4.277937412261963
1,1,1024,169,9,169,2,1,32,242,12148852.46873797,35247425383.76255,4090338216.9296937,2164.366969129286,M3D,6202977.25,272819.80165289255,0,6475797.0516528925,347925738.07331675,6061967.501957351,0,353987705.5752741,1.876039717093524,2.081808468156683,0.07830979560576949,0,3.6639015014400003,5,1,388.98,5.674215793609619,3.25634503364563,0.007139921188354492,8.937700748443604
1,1,1024,81,36,81,1,2,32,288,20667308.01273829,39145755609.2092,7841831847.841543,8020.818745184156,H2_5D,13938186.9375,0,17415.06307015,13955602.00057015,404254776.2707447,0,478564.3311257664,404733340.6018705,1.4809327474295941,0.313819742471778,0.02900339750668125,0.027479908008259907,0.9674182656000001,1,1,321.55137016330286,2.0928075313568115,1.7600436210632324,0.008143901824951172,3.860995054244995
